episode_date,Weekday,audio_url,mysteries,title,publish_at
5/5/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-05-05 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-05-05T01:00:00-05:00
6/1/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-06-01 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-01T01:00:00-05:00
6/2/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-06-02 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-02T01:00:00-05:00
6/3/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-06-03 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-03T01:00:00-05:00
6/4/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-06-04 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-06-04T01:00:00-05:00
6/5/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-06-05 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-06-05T01:00:00-05:00
6/6/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-06-06 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-06T01:00:00-05:00
6/7/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-06-07 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-06-07T01:00:00-05:00
6/8/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-06-08 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-06-08T01:00:00-05:00
