episode_date,Weekday,audio_url,mysteries,title,publish_at
3/3/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-03-03 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-03-03T01:00:00-05:00
3/5/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-03-05 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-03-05T01:00:00-05:00
3/6/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-03-06 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-03-06T01:00:00-05:00
