episode_date,Weekday,audio_url,mysteries,title,publish_at
1/2/2026,Friday,https://archive.org/download/sthelena-daily-rosary/FridayRosary.mp3,Sorrowful,2026-01-02 Rosary - Friday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-01-02T01:00:00-05:00
1/3/2026,Saturday,https://archive.org/download/sthelena-daily-rosary/SaturdayRosary.mp3,Joyful,2026-01-03 Rosary - Saturday - The Joyful Mysteries (Daily Catholic Prayer),2026-01-03T01:00:00-05:00
1/4/2026,Sunday,https://archive.org/download/sthelena-daily-rosary/SundayRosary.mp3,Glorious,2026-01-04 Rosary - Sunday - The Glorious Mysteries (Daily Catholic Prayer),2026-01-04T01:00:00-05:00
1/5/2026,Monday,https://archive.org/download/sthelena-daily-rosary/MondayRosary.mp3,Joyful,2026-01-05 Rosary - Monday - The Joyful Mysteries (Daily Catholic Prayer),2026-01-05T01:00:00-05:00
1/6/2026,Tuesday,https://archive.org/download/sthelena-daily-rosary/TuesdayRosary.mp3,Sorrowful,2026-01-06 Rosary - Tuesday - The Sorrowful Mysteries (Daily Catholic Prayer),2026-01-06T01:00:00-05:00
1/7/2026,Wednesday,https://archive.org/download/sthelena-daily-rosary/WednesdayRosary.mp3,Glorious,2026-01-07 Rosary - Wednesday - The Glorious Mysteries (Daily Catholic Prayer),2026-01-07T01:00:00-05:00
1/8/2026,Thursday,https://archive.org/download/sthelena-daily-rosary/ThursdayRosary.mp3,Luminous,2026-01-08 Rosary - Thursday - The Luminous Mysteries (Daily Catholic Prayer),2026-01-08T01:00:00-05:00
